# Kx Ky E
0 3 -1.3394987365799
0 3 -1.307307455742
0 3 -1.307307455742
0 3 -1.2846591175744
0 3 -1.2846591175744
0 3 -1.2800634866949
0 3 -1.2787263587572
0 3 -1.2787263587572
0 3 -1.2729903499788
0 3 -1.2729903499788
0 3 -1.2592633537659
0 3 -1.2539561670052
0 3 -1.2529105077077
0 3 -1.2529081665337
0 3 -1.2528567207895
0 3 -1.2519267661423
0 3 -1.2386679262836
0 3 -1.2298221822229
0 3 -1.2279707014748
0 3 -1.2190062626676
0 3 -1.2171258972992
0 3 -1.2143011850375
0 3 -1.2071877804527
0 3 -1.2025438972694
0 3 -1.1970387922328
0 3 -1.1938526736278
0 3 -1.1882404710225
0 3 -1.1875837008402
0 3 -1.1860095037788
0 3 -1.184865200676
1 3 -1.3328075864625
1 3 -1.3328075864625
1 3 -1.310442150654
1 3 -1.310442150654
1 3 -1.307307455742
1 3 -1.2821302035051
1 3 -1.2729903499788
1 3 -1.2679067110793
1 3 -1.2679067110793
1 3 -1.2667929585678
1 3 -1.2631390756964
1 3 -1.2631390756959
1 3 -1.2535776451025
1 3 -1.2529105077077
1 3 -1.2487242058224
1 3 -1.2487240042853
1 3 -1.2421627418221
1 3 -1.242161003354
1 3 -1.2328484363537
1 3 -1.2328414254923
1 3 -1.229822182223
1 3 -1.2248997880094
1 3 -1.2145902467736
1 3 -1.2123977701665
1 3 -1.211544082204
1 3 -1.2071877804527
1 3 -1.1943073345799
1 3 -1.1934536108696
1 3 -1.1909997545043
1 3 -1.1882404710206
2 3 -1.310442150654
2 3 -1.310442150654
2 3 -1.2996651015838
2 3 -1.2963341827743
2 3 -1.2963341827742
2 3 -1.2846591175744
2 3 -1.2787263587572
2 3 -1.2631390756964
2 3 -1.2631390756865
2 3 -1.2581748341653
2 3 -1.2490390312082
2 3 -1.2487242058224
2 3 -1.247920401507
2 3 -1.2434359925239
2 3 -1.2386169835602
2 3 -1.233834731376
2 3 -1.2279707014748
2 3 -1.2276506840097
2 3 -1.2248997880094
2 3 -1.2200140732388
2 3 -1.2190062626676
2 3 -1.2123977701665
2 3 -1.2103110862928
2 3 -1.2075126548504
2 3 -1.1970387922328
2 3 -1.1952058002564
2 3 -1.1943073345799
2 3 -1.1848652006464
2 3 -1.184811836074
2 3 -1.1828754084333
3 3 -1.3394987365799
3 3 -1.3179877808092
3 3 -1.3108764767961
3 3 -1.2996651015837
3 3 -1.2996651015837
3 3 -1.2831853796988
3 3 -1.2821302035051
3 3 -1.282130203505
3 3 -1.2800634866949
3 3 -1.2667929585678
3 3 -1.2667929585589
3 3 -1.2581748341653
3 3 -1.258146667945
3 3 -1.2539561670052
3 3 -1.2535776451025
3 3 -1.2407701858084
3 3 -1.2386679262836
3 3 -1.2386169835602
3 3 -1.233834731376
3 3 -1.2328414254923
3 3 -1.2276506840097
3 3 -1.2261209229851
3 3 -1.2203392414794
3 3 -1.2171258972992
3 3 -1.2145902467736
3 3 -1.2075126548504
3 3 -1.2025438972694
3 3 -1.2013358591756
3 3 -1.1938526736278
3 3 -1.1909997545043
4 3 -1.310442150654
4 3 -1.310442150654
4 3 -1.2996651015838
4 3 -1.2963341827743
4 3 -1.2963341827743
4 3 -1.2846591175744
4 3 -1.2787263587572
4 3 -1.2631390756964
4 3 -1.2631390756964
4 3 -1.2581748341653
4 3 -1.2490390312082
4 3 -1.2487242058224
4 3 -1.2475426831622
